,team_abbr,team_color
0,ARI,#97233F
1,ATL,#A71930
2,BAL,#241773
3,BUF,#00338D
4,CAR,#0085CA
5,CHI,#E64100
6,CIN,#FB4F14
7,CLE,#FF3C00
8,DAL,#002244
9,DEN,#FB4F14
10,DET,#0076B6
11,GB,#203731
12,HOU,#03202F
13,IND,#002C5F
14,JAX,#006778
15,KC,#E31837
16,LA,#003594
17,LAC,#007BC7
18,LAR,#003594
19,LV,#A5ACAF
20,MIA,#008E97
21,MIN,#4F2683
22,NE,#002244
23,NO,#D3BC8D
24,NYG,#0B2265
25,NYJ,#003F2D
26,OAK,#000000
27,PHI,#004C54
28,PIT,#FFB612
29,SD,#007BC7
30,SEA,#002244
31,SF,#AA0000
32,STL,#003594
33,TB,#A71930
34,TEN,#002244
35,WAS,#5A1414

