penalty_team,season,penalty_type,penalty
ARI,2016,Defensive Holding,5.0
ARI,2016,Defensive Offside,6.0
ARI,2016,Defensive Pass Interference,8.0
ARI,2016,Delay of Game,6.0
ARI,2016,Encroachment,3.0
ARI,2016,Face Mask,4.0
ARI,2016,False Start,13.0
ARI,2016,Illegal Block Above the Waist,2.0
ARI,2016,Illegal Contact,1.0
ARI,2016,Illegal Formation,2.0
ARI,2016,Illegal Motion,2.0
ARI,2016,Illegal Shift,1.0
ARI,2016,Illegal Touch Kick,1.0
ARI,2016,Illegal Use of Hands,3.0
ARI,2016,Intentional Grounding,3.0
ARI,2016,Invalid Fair Catch Signal,1.0
ARI,2016,Neutral Zone Infraction,1.0
ARI,2016,Offensive Holding,26.0
ARI,2016,Offensive Pass Interference,4.0
ARI,2016,Offside on Free Kick,1.0
ARI,2016,Roughing the Passer,5.0
ARI,2016,Taunting,2.0
ARI,2016,Unnecessary Roughness,2.0
ARI,2016,Unsportsmanlike Conduct,1.0
ARI,2017,Chop Block,1.0
ARI,2017,Defensive 12 On-field,3.0
ARI,2017,Defensive Holding,7.0
ARI,2017,Defensive Offside,8.0
ARI,2017,Defensive Pass Interference,4.0
ARI,2017,Delay of Game,3.0
ARI,2017,Encroachment,3.0
ARI,2017,Face Mask,2.0
ARI,2017,False Start,17.0
ARI,2017,Horse Collar Tackle,1.0
ARI,2017,Illegal Block Above the Waist,5.0
ARI,2017,Illegal Contact,2.0
ARI,2017,Illegal Crackback,1.0
ARI,2017,Illegal Formation,2.0
ARI,2017,Illegal Peelback,1.0
ARI,2017,Leverage,1.0
ARI,2017,Neutral Zone Infraction,8.0
ARI,2017,Offensive Holding,27.0
ARI,2017,Offensive Pass Interference,1.0
ARI,2017,Offside on Free Kick,3.0
ARI,2017,Roughing the Passer,5.0
ARI,2017,Tripping,1.0
ARI,2017,Unnecessary Roughness,4.0
ARI,2018,Defensive Holding,6.0
ARI,2018,Defensive Offside,5.0
ARI,2018,Defensive Pass Interference,5.0
ARI,2018,Delay of Game,6.0
ARI,2018,Face Mask,4.0
ARI,2018,Fair Catch Interference,2.0
ARI,2018,False Start,20.0
ARI,2018,Horse Collar Tackle,1.0
ARI,2018,Illegal Block Above the Waist,6.0
ARI,2018,Illegal Contact,3.0
ARI,2018,Illegal Formation,1.0
ARI,2018,Illegal Substitution,1.0
ARI,2018,Illegal Use of Hands,2.0
ARI,2018,Intentional Grounding,1.0
ARI,2018,Lowering the Head to Initiate Contact,1.0
ARI,2018,Neutral Zone Infraction,5.0
ARI,2018,Offensive Holding,20.0
ARI,2018,Offensive Pass Interference,1.0
ARI,2018,Roughing the Passer,4.0
ARI,2018,Unnecessary Roughness,6.0
ARI,2018,Unsportsmanlike Conduct,1.0
ARI,2019,Defensive Holding,4.0
ARI,2019,Defensive Offside,8.0
ARI,2019,Defensive Pass Interference,10.0
ARI,2019,Defensive Too Many Men on Field,1.0
ARI,2019,Delay of Game,2.0
ARI,2019,Encroachment,1.0
ARI,2019,Face Mask,2.0
ARI,2019,Fair Catch Interference,1.0
ARI,2019,False Start,17.0
ARI,2019,Horse Collar Tackle,2.0
ARI,2019,Illegal Blindside Block,1.0
ARI,2019,Illegal Block Above the Waist,7.0
ARI,2019,Illegal Contact,1.0
ARI,2019,Illegal Formation,1.0
ARI,2019,Illegal Motion,1.0
ARI,2019,Illegal Shift,1.0
ARI,2019,Illegal Use of Hands,3.0
ARI,2019,Ineligible Downfield Pass,4.0
ARI,2019,Intentional Grounding,1.0
ARI,2019,Neutral Zone Infraction,13.0
ARI,2019,Offensive Holding,23.0
ARI,2019,Offensive Pass Interference,4.0
ARI,2019,Offensive Too Many Men on Field,1.0
ARI,2019,Roughing the Passer,4.0
ARI,2019,Unnecessary Roughness,8.0
ARI,2020,Chop Block,1.0
ARI,2020,Defensive Delay of Game,1.0
ARI,2020,Defensive Holding,9.0
ARI,2020,Defensive Offside,5.0
ARI,2020,Defensive Pass Interference,14.0
ARI,2020,Defensive Too Many Men on Field,4.0
ARI,2020,Delay of Game,3.0
ARI,2020,Face Mask,1.0
ARI,2020,False Start,32.0
ARI,2020,Horse Collar Tackle,1.0
ARI,2020,Illegal Block Above the Waist,4.0
ARI,2020,Illegal Contact,3.0
ARI,2020,Illegal Formation,1.0
ARI,2020,Illegal Shift,1.0
ARI,2020,Illegal Use of Hands,2.0
ARI,2020,Ineligible Downfield Pass,1.0
ARI,2020,Intentional Grounding,4.0
ARI,2020,Lowering the Head to Initiate Contact,3.0
ARI,2020,Neutral Zone Infraction,2.0
ARI,2020,Offensive Holding,13.0
ARI,2020,Offensive Pass Interference,3.0
ARI,2020,Offensive Too Many Men on Field,1.0
ARI,2020,Roughing the Passer,1.0
ARI,2020,Taunting,1.0
ARI,2020,Tripping,1.0
ARI,2021,Defensive Holding,5.0
ARI,2021,Defensive Offside,4.0
ARI,2021,Defensive Pass Interference,9.0
ARI,2021,Delay of Game,6.0
ARI,2021,Encroachment,1.0
ARI,2021,Face Mask,3.0
ARI,2021,False Start,28.0
ARI,2021,Illegal Block Above the Waist,1.0
ARI,2021,Illegal Contact,3.0
ARI,2021,Illegal Double-Team Block,1.0
ARI,2021,Illegal Forward Pass,1.0
ARI,2021,Illegal Shift,1.0
ARI,2021,Illegal Use of Hands,1.0
ARI,2021,Ineligible Downfield Pass,2.0
ARI,2021,Intentional Grounding,1.0
ARI,2021,Lowering the Head to Initiate Contact,2.0
ARI,2021,Neutral Zone Infraction,3.0
ARI,2021,Offensive Holding,26.0
ARI,2021,Offensive Pass Interference,4.0
ARI,2021,Offensive Too Many Men on Field,1.0
ARI,2021,Roughing the Kicker,2.0
ARI,2021,Roughing the Passer,8.0
ARI,2021,Taunting,2.0
ARI,2021,Unnecessary Roughness,6.0
ARI,2022,Defensive Delay of Game,1.0
ARI,2022,Defensive Holding,2.0
ARI,2022,Defensive Offside,4.0
ARI,2022,Defensive Pass Interference,5.0
ARI,2022,Defensive Too Many Men on Field,1.0
ARI,2022,Delay of Game,2.0
ARI,2022,Encroachment,5.0
ARI,2022,Face Mask,2.0
ARI,2022,False Start,25.0
ARI,2022,Illegal Blindside Block,1.0
ARI,2022,Illegal Block Above the Waist,4.0
ARI,2022,Illegal Contact,1.0
ARI,2022,Illegal Double-Team Block,1.0
ARI,2022,Illegal Formation,3.0
ARI,2022,Illegal Forward Pass,1.0
ARI,2022,Illegal Shift,3.0
ARI,2022,Illegal Touch Pass,1.0
ARI,2022,Ineligible Downfield Pass,5.0
ARI,2022,Intentional Grounding,3.0
ARI,2022,Neutral Zone Infraction,9.0
ARI,2022,Offensive Holding,24.0
ARI,2022,Offensive Pass Interference,2.0
ARI,2022,Offensive Too Many Men on Field,2.0
ARI,2022,Player Out of Bounds on Kick,1.0
ARI,2022,Roughing the Passer,3.0
ARI,2022,Taunting,1.0
ARI,2022,Unnecessary Roughness,5.0
ARI,2023,Chop Block,1.0
ARI,2023,Defensive Holding,9.0
ARI,2023,Defensive Offside,1.0
ARI,2023,Defensive Pass Interference,9.0
ARI,2023,Delay of Game,3.0
ARI,2023,Face Mask,2.0
ARI,2023,False Start,23.0
