,team,season,years_exp
0,ARI,2016,3.7738095238095237
1,ARI,2017,3.7596153846153846
2,ARI,2018,3.0
3,ARI,2019,3.0792079207920793
4,ARI,2020,4.197916666666667
5,ARI,2021,4.340425531914893
6,ARI,2022,3.8476190476190477
7,ARI,2023,2.9611650485436893
8,ARI,2024,3.202020202020202
9,ARI,2025,3.3009708737864076
10,ATL,2016,3.3205128205128207
11,ATL,2017,2.8351648351648353
12,ATL,2018,3.1752577319587627
13,ATL,2019,3.392156862745098
14,ATL,2020,3.3258426966292136
15,ATL,2021,3.388888888888889
16,ATL,2022,2.898989898989899
17,ATL,2023,3.227722772277228
18,ATL,2024,3.6542056074766354
19,ATL,2025,3.42
20,BAL,2016,3.1948051948051948
21,BAL,2017,3.2551020408163267
22,BAL,2018,2.6987951807228914
23,BAL,2019,3.2282608695652173
24,BAL,2020,3.510204081632653
25,BAL,2021,3.78125
26,BAL,2022,3.86
27,BAL,2023,3.4946236559139785
28,BAL,2024,3.258426966292135
29,BAL,2025,3.522727272727273
30,BUF,2016,3.6623376623376624
31,BUF,2017,3.1809523809523808
32,BUF,2018,3.265957446808511
33,BUF,2019,3.4367816091954024
34,BUF,2020,3.778947368421053
35,BUF,2021,3.5
36,BUF,2022,4.0777777777777775
37,BUF,2023,4.242105263157895
38,BUF,2024,3.4791666666666665
39,BUF,2025,3.9238095238095236
40,CAR,2016,4.2153846153846155
41,CAR,2017,3.5833333333333335
42,CAR,2018,3.6145833333333335
43,CAR,2019,3.317757009345794
44,CAR,2020,3.061224489795918
45,CAR,2021,2.826530612244898
46,CAR,2022,2.9893617021276597
47,CAR,2023,3.4615384615384617
48,CAR,2024,3.4144144144144146
49,CAR,2025,2.9702970297029703
50,CHI,2016,3.204301075268817
51,CHI,2017,3.263157894736842
52,CHI,2018,2.6373626373626373
53,CHI,2019,2.7472527472527473
54,CHI,2020,3.9239130434782608
55,CHI,2021,3.8666666666666667
56,CHI,2022,2.86734693877551
57,CHI,2023,3.1411764705882352
58,CHI,2024,3.2888888888888888
59,CHI,2025,3.391304347826087
60,CIN,2016,3.414285714285714
61,CIN,2017,2.7058823529411766
62,CIN,2018,2.4479166666666665
63,CIN,2019,2.627906976744186
64,CIN,2020,3.086021505376344
65,CIN,2021,3.1444444444444444
66,CIN,2022,2.694736842105263
67,CIN,2023,2.602272727272727
68,CIN,2024,2.57
69,CIN,2025,2.765957446808511
70,CLE,2016,2.6451612903225805
71,CLE,2017,1.8350515463917525
72,CLE,2018,2.03125
73,CLE,2019,2.2444444444444445
74,CLE,2020,2.676470588235294
75,CLE,2021,3.0
76,CLE,2022,2.84
77,CLE,2023,3.6534653465346536
78,CLE,2024,3.5625
79,CLE,2025,3.196261682242991
80,DAL,2016,3.36144578313253
81,DAL,2017,2.8526315789473684
82,DAL,2018,2.320388349514563
83,DAL,2019,3.3118279569892475
84,DAL,2020,3.425531914893617
85,DAL,2021,2.8275862068965516
86,DAL,2022,3.3195876288659796
87,DAL,2023,3.25
88,DAL,2024,3.3737373737373737
89,DAL,2025,3.4069767441860463
90,DEN,2016,3.106060606060606
91,DEN,2017,2.4555555555555557
92,DEN,2018,2.5754716981132075
93,DEN,2019,2.4693877551020407
94,DEN,2020,2.917525773195876
95,DEN,2021,2.9148936170212765
96,DEN,2022,2.9207920792079207
97,DEN,2023,3.0217391304347827
98,DEN,2024,2.9156626506024095
99,DEN,2025,3.3333333333333335
100,DET,2016,3.111111111111111
101,DET,2017,2.9072164948453607
102,DET,2018,3.2783505154639174
103,DET,2019,2.702970297029703
104,DET,2020,3.6179775280898876
105,DET,2021,2.303921568627451
106,DET,2022,2.663265306122449
107,DET,2023,3.4329896907216493
108,DET,2024,3.7037037037037037
109,DET,2025,3.824074074074074
110,GB,2016,2.3947368421052633
111,GB,2017,2.2298850574712645
112,GB,2018,2.3047619047619046
113,GB,2019,2.528735632183908
114,GB,2020,2.8877551020408165
115,GB,2021,2.933333333333333
116,GB,2022,2.5436893203883497
117,GB,2023,1.8958333333333333
118,GB,2024,1.8602150537634408
119,GB,2025,2.0792079207920793
120,HOU,2016,2.607594936708861
121,HOU,2017,2.796116504854369
122,HOU,2018,2.7954545454545454
123,HOU,2019,3.0625
124,HOU,2020,3.3222222222222224
125,HOU,2021,3.7951807228915664
126,HOU,2022,3.49438202247191
127,HOU,2023,3.7281553398058254
128,HOU,2024,3.912087912087912
129,HOU,2025,3.6875
130,IND,2016,3.142857142857143
131,IND,2017,2.3689320388349513
132,IND,2018,2.6699029126213594
133,IND,2019,2.574468085106383
134,IND,2020,3.0208333333333335
135,IND,2021,3.2111111111111112
136,IND,2022,2.5728155339805827
137,IND,2023,2.823529411764706
138,IND,2024,3.168421052631579
139,IND,2025,3.2018348623853212
140,JAX,2016,2.935064935064935
141,JAX,2017,2.5555555555555554
142,JAX,2018,2.673076923076923
143,JAX,2019,2.481818181818182
144,JAX,2020,2.830188679245283
145,JAX,2021,2.9101123595505616
146,JAX,2022,2.7628865979381443
147,JAX,2023,2.853932584269663
148,JAX,2024,2.968421052631579
149,JAX,2025,3.033333333333333
150,KC,2016,3.0853658536585367
151,KC,2017,2.9270833333333335
152,KC,2018,2.736842105263158
153,KC,2019,2.9473684210526314
154,KC,2020,3.597826086956522
155,KC,2021,2.967741935483871
156,KC,2022,2.8383838383838382
157,KC,2023,2.8118811881188117
158,KC,2024,3.04040404040404
159,KC,2025,2.957894736842105
160,LA,2016,2.426470588235294
161,LA,2017,2.2065217391304346
162,LA,2018,2.2857142857142856
163,LA,2019,2.211764705882353
164,LA,2020,2.3411764705882354
165,LA,2021,2.6914893617021276
166,LA,2022,2.8877551020408165
167,LA,2023,2.136842105263158
168,LA,2024,2.536842105263158
169,LA,2025,3.0786516853932584
170,LAC,2017,2.717391304347826
171,LAC,2018,2.520408163265306
172,LAC,2019,2.607843137254902
